date,sym,exp,dte,spot,atm,straddle,em_pct,iv,iv_skew,pcr,max_pain,cw,pw,fut_oi,fut_oi_chg,opt_val
2026-03-27,NIFTY,2026-03-30,3,22819.6,22800.0,426.0,1.87,25.78,1.56,0.88,23150.0,24000;25000;24500,20000;22000;21500,25269660.0,2205970.0,117342633474407.23
2026-03-27,NIFTY,2026-04-07,11,22819.6,22800.0,955.35,4.19,30.22,2.17,0.91,23600.0,24500;24000;25000,21000;20500;22000,25269660.0,2205970.0,3843816678182.0
2026-03-30,BANKNIFTY,2026-03-30,0,50275.35,50300.0,63.75,0.13,4.14,3.0,0.63,50900.0,50300;50400;50800,50200;50300;50000,3608220.0,345870.0,102034125529153.5
2026-03-30,BANKNIFTY,2026-04-28,29,50275.35,50300.0,,,34.66,,0.86,55000.0,60000;55000;59000,60000;59000;52000,3608220.0,345870.0,1151523117414.0
2026-03-30,NIFTY,2026-03-30,0,22331.4,22350.0,35.75,0.16,4.9,4.96,0.76,22500.0,22350;22500;23000,22300;22000;21500,29861975.0,4592315.0,519147239087356.8
2026-03-30,NIFTY,2026-04-07,8,22331.4,22350.0,779.2,3.49,29.55,0.06,0.77,23000.0,24000;24500;23500,20500;21000;20200,29861975.0,4592315.0,11274585282051.0
2026-04-01,BANKNIFTY,2026-04-28,27,51448.65,51400.0,3287.1,6.39,29.46,-1.43,0.84,54000.0,60000;55000;59000,60000;51000;59000,2712540.0,-389190.0,2605458328096.5
2026-04-01,BANKNIFTY,2026-05-26,55,51448.65,51400.0,,,27.98,,0.61,55000.0,60000;55000;52000,58000;57000;52000,2712540.0,-389190.0,42423645645.0
2026-04-01,NIFTY,2026-04-07,6,22679.4,22700.0,613.05,2.7,26.43,-1.56,0.84,23000.0,24000;24500;23500,20200;21000;20500,23023975.0,-199680.0,60767532634497.0
2026-04-01,NIFTY,2026-04-13,12,22679.4,22700.0,889.3,3.92,27.12,-1.45,0.8,22900.0,24000;23000;25000,20500;22500;21500,23023975.0,-199680.0,1205926301775.0
2026-04-02,BANKNIFTY,2026-04-28,26,51548.75,51500.0,3328.15,6.46,30.34,-0.09,0.86,54000.0,60000;55000;59000,60000;51000;50000,2798370.0,85830.0,2717090529801.0
2026-04-02,BANKNIFTY,2026-05-26,54,51548.75,51500.0,4443.45,8.62,28.1,0.11,0.61,54900.0,60000;55000;57000,58000;57000;50000,2798370.0,85830.0,48674220589.5
2026-04-02,NIFTY,2026-04-07,5,22713.1,22700.0,550.1,2.42,25.92,4.29,1.17,22800.0,24000;23000;24500,20200;21000;22000,23852465.0,828490.0,63887872519929.25
2026-04-02,NIFTY,2026-04-13,11,22713.1,22700.0,859.55,3.78,27.32,3.28,0.78,22700.0,25000;24000;23500,20500;22000;20200,23852465.0,828490.0,2260506781981.5
2026-04-06,BANKNIFTY,2026-04-28,22,52609.1,52600.0,3130.85,5.95,30.4,-1.46,0.87,54000.0,60000;55000;59000,52000;50000;51000,2741970.0,-56400.0,2738688811492.5
2026-04-06,BANKNIFTY,2026-05-26,50,52609.1,52600.0,4299.65,8.17,27.7,-1.27,0.63,54100.0,60000;57000;55000,58000;57000;52000,2741970.0,-56400.0,47603787292.5
2026-04-06,NIFTY,2026-04-07,1,22968.25,22950.0,364.85,1.59,38.01,-0.36,1.43,23000.0,24000;23500;24500,21500;22000;22500,24259625.0,407160.0,181794127337520.75
2026-04-06,NIFTY,2026-04-13,7,22968.25,22950.0,781.55,3.4,30.79,-0.66,0.93,22900.0,25000;24000;23500,20100;20500;21000,24259625.0,407160.0,6012339570097.25
2026-04-07,BANKNIFTY,2026-04-28,21,52716.25,52700.0,2968.6,5.63,29.44,0.91,0.86,54000.0,60000;58000;55000,50000;52000;59000,2685120.0,-56850.0,2115349298275.5
2026-04-07,BANKNIFTY,2026-05-26,49,52716.25,52700.0,4371.1,8.29,28.39,4.68,0.63,54000.0,57000;60000;55000,58000;57000;52000,2685120.0,-56850.0,39478512013.5
2026-04-07,NIFTY,2026-04-07,0,23123.65,23100.0,24.1,0.1,2.17,2.34,1.38,23100.0,23150;23500;23100,23100;23000;22900,24528855.0,269230.0,626433380796915.2
2026-04-07,NIFTY,2026-04-13,6,23123.65,23100.0,671.5,2.9,28.37,3.16,1.27,23000.0,25000;24000;24500,20100;21000;22000,24528855.0,269230.0,12510038310272.75
2026-04-08,BANKNIFTY,2026-04-28,20,55703.9,55700.0,2175.8,3.91,20.89,0.22,0.81,55000.0,60000;58000;59000,52000;55000;58000,2490780.0,-194340.0,4645956951271.5
2026-04-08,BANKNIFTY,2026-05-26,48,55703.9,55700.0,3260.05,5.85,20.16,0.9,0.66,55000.0,58000;60000;57000,58000;50000;57000,2490780.0,-194340.0,140148810001.5
2026-04-08,NIFTY,2026-04-13,5,23997.35,24000.0,424.55,1.77,18.94,1.28,1.2,23900.0,25000;24500;24000,21000;23000;22000,23000900.0,-1527955.0,67485428796587.75
2026-04-08,NIFTY,2026-04-21,13,23997.35,24000.0,675.2,2.81,18.67,1.16,0.99,23800.0,25000;24000;24500,20100;23000;21000,23000900.0,-1527955.0,1418389908507.0
2026-04-09,BANKNIFTY,2026-04-28,19,54821.7,54800.0,2328.05,4.25,23.31,-0.96,0.77,55000.0,58000;60000;55000,58000;52000;55000,2506380.0,15600.0,3494687600755.5
2026-04-09,BANKNIFTY,2026-05-26,47,54821.7,54800.0,3529.5,6.44,22.44,-0.63,0.72,55900.0,60000;57000;55000,58000;52000;50000,2506380.0,15600.0,109918646902.5
2026-04-09,NIFTY,2026-04-13,4,23775.1,23800.0,388.5,1.63,19.56,-1.12,0.92,23800.0,25000;24500;24000,23000;21000;22500,22720035.0,-280865.0,70430606717549.0
2026-04-09,NIFTY,2026-04-21,12,23775.1,23800.0,688.05,2.89,20.01,-0.69,0.9,23800.0,25000;25500;26000,20100;23000;21000,22720035.0,-280865.0,1959288586212.75
